user_id,label
2689434779712,0
2697442927197,0
2697596026162,0
2694519728363,0
2697510662772,0
2697586945261,0
2697415601177,0
2697444798930,1
2697501848985,0
2697460336288,0
2697450110749,0
2697495592950,0
2697487555440,0
2697646013331,0
2697512899032,0
2697433262193,0
2697454632101,1
2697603907890,0
2697478386368,0
2697453415385,0
2697437687386,0
2697436995024,0
2689435447359,0
2697540545134,0
2697420685439,1
2697491758789,0
2697548667060,0
2697605576453,0
2697609898721,0
2697433054656,0
2697502293904,1
2697517112273,1
2697501344324,1
2697482591200,1
2697483635433,1
2697585600724,0
2697603458456,0
2697629084338,0
2697517954941,1
2697455117583,1
2697419975885,0
2689424445570,1
2694512904210,0
2697555492281,0
2697648215711,0
2697573946972,0
2697487028528,0
2689422283208,0
2697496086542,0
2689424905087,0
2694528646827,1
2694524155261,0
2694514287292,0
2697499866770,0
2697492365264,0
2697434956272,0
2697433046203,0
2689425969108,0
2689432396636,0
2697451679407,0
2694522854720,1
2697535099305,1
2697507100155,0
2697490174625,0
2697651327066,0
2697477600378,0
2697500876506,0
2697439057718,0
2697475178615,0
2697535845544,0
2697414201710,0
2697458864746,0
2697431894591,0
2697440115558,1
2697643494904,0
2697450896017,0
2697478812510,0
2697592250282,0
2697490037355,0
2694517535932,1
2697424537884,0
2689428138660,1
2697636146713,0
2697537052847,1
2697477834451,0
2697558029324,1
2697628661619,0
2697416665874,0
2694520853281,1
2697586721939,0
2697640379513,1
2694523158646,0
2697491410646,0
2697448921693,0
2697496721845,1
2697523480028,0
2697530060309,0
2697507180816,0
2689415870909,1
2694524291217,0
2689437135118,0
2697434575564,0
2697512819039,0
2689427712290,0
2697509993820,0
2697561446888,1
2697539920788,0
2697429108724,0
2689433714876,0
2697424075095,0
2697451874951,0
2694525770197,0
2697416822943,0
2697514522938,0
2697496592658,0
2697420009197,0
2697554225840,0
2697611182626,0
2697634318940,0
2697538448143,0
2697422383948,0
2694522405982,0
2694519319748,0
2697442855175,0
2694517597998,0
2697627754253,0
2689417020908,0
2697649209189,0
2697562409529,0
2697641884315,0
2697489273732,0
2697564430100,1
2697443136305,0
2697517053503,0
2697452741197,0
2697536318645,1
2697453706193,0
2697500336148,0
2694521430734,0
2697463032568,0
2697574899485,0
2697618940958,0
2697560022869,0
2689429181974,0
2697512897210,0
2697442306112,0
2697532784746,0
2694524336823,1
2694528631349,0
2689433378270,0
2697431562630,0
2697442019819,0
2697548531252,0
2697559537915,0
2689419241752,0
2697490442819,0
2689412610371,0
2694517942523,0
2697631219878,0
2689432762424,0
2697423825891,1
2697651583225,0
2697479628350,0
2689432627108,1
2697445644274,1
2697502128071,0
2689436973117,0
2694514927322,0
2689414027645,1
2689418533524,0
2697590342974,0
2689414855914,1
2697442029142,0
2697426175769,0
2697641920883,0
2697487428265,0
2697416121172,0
2697492778126,1
2697480880822,0
2689437078249,0
2697516039557,0
2697425357708,0
2697433720373,0
2697506046406,0
2697618561850,0
2697631549489,0
2697441396506,0
2697432209821,0
2697539009588,0
2697573782364,1
2689426625759,0
2697484958271,1
2697412434653,0
2694521515366,1
2697525750394,0
2697415286116,0
2689421453806,0
2697446403517,0
2697542604463,0
2689433424598,0
2697610993562,0
2697577091672,1
2697462760569,1
2689413187738,1
2697561436871,0
2689415122989,0
2697641782987,0
2697475915766,0
2697646528509,0
2697634149860,0
2697421658855,0
2697620413726,0
2697449428586,0
2694521306629,0
2697565862590,1
2697614705451,0
2689419705565,0
2697519786958,0
2697567400420,0
2697422129556,0
2694514502605,0
2697439637445,0
2697646786078,0
2697620534060,0
2694527960856,0
2697443571022,0
